Easting,Northing,Depth (Proc),Primary Depth,Secondary Depth
146285.872,6834637.175,7.513,12.211,12.136
146285.918,6834637.254,7.525,12.227,12.143
146285.958,6834637.314,7.506,12.213,12.160
146285.994,6834637.381,7.507,12.218,12.156
146286.030,6834637.448,7.505,12.222,12.156
146286.070,6834637.515,7.500,12.222,12.178
146286.105,6834637.569,7.501,12.226,12.167
146286.155,6834637.641,7.498,12.227,12.170
146286.207,6834637.700,7.489,12.222,12.193
146286.255,6834637.753,7.491,12.226,12.177
146286.315,6834637.805,7.491,12.229,12.186
146286.376,6834637.857,7.500,12.239,12.198
146286.440,6834637.902,7.503,12.244,12.185
146286.530,6834637.957,7.501,12.242,12.179
146286.624,6834638.006,7.496,12.237,12.182
146286.720,6834638.067,7.489,12.231,12.185
146286.813,6834638.103,7.488,12.230,12.190
146286.906,6834638.145,7.493,12.234,12.190
146286.998,6834638.175,7.496,12.237,12.191
146287.093,6834638.224,7.492,12.234,12.175
146287.207,6834638.258,7.489,12.230,12.179
146287.303,6834638.280,7.484,12.226,12.160
146287.395,6834638.310,7.498,12.240,12.163
146287.482,6834638.334,7.793,12.537,12.161
146287.578,6834638.356,7.490,12.235,12.165
146287.686,6834638.372,7.483,12.229,12.165
146287.777,6834638.389,7.479,12.226,12.173
146287.882,6834638.411,7.474,12.223,12.154
146287.981,6834638.427,7.474,12.224,12.161
146288.068,6834638.444,7.476,12.226,12.162
146288.161,6834638.474,7.478,12.229,12.155
146288.244,6834638.498,7.469,12.219,12.151
146288.344,6834638.520,7.466,12.216,12.186
146288.428,6834638.551,7.466,12.216,12.149
146288.517,6834638.587,7.464,12.212,12.143
146288.605,6834638.623,7.463,12.210,12.147
146288.698,6834638.653,7.464,12.209,12.151
146288.787,6834638.696,7.465,12.208,12.148
146288.890,6834638.750,7.460,12.201,12.142
146288.984,6834638.792,7.460,12.198,12.134
146289.073,6834638.835,7.465,12.199,12.138
146289.163,6834638.884,7.457,12.188,12.135
146289.252,6834638.927,7.452,12.179,12.131
146289.360,6834638.987,7.452,12.174,12.118
146289.442,6834639.036,7.450,12.169,12.116
146289.531,6834639.079,7.451,12.166,12.120
146289.617,6834639.129,7.452,12.164,12.109
146289.702,6834639.178,7.451,12.159,12.108
146289.801,6834639.226,7.450,12.155,12.104
146289.881,6834639.270,7.450,12.153,12.103
146289.957,6834639.307,7.452,12.153,12.092
146290.043,6834639.357,7.450,12.151,12.085
146290.133,6834639.406,7.443,12.144,12.080
146290.209,6834639.443,7.437,12.138,12.091
146290.281,6834639.488,7.435,12.137,12.102
146290.357,6834639.525,7.431,12.134,12.104
146290.429,6834639.563,7.427,12.131,12.076
146290.515,6834639.612,7.427,12.132,12.086
146290.583,6834639.651,7.427,12.133,12.094
146290.660,6834639.701,7.427,12.133,12.075
146290.727,6834639.739,7.428,12.134,12.076
146290.800,6834639.790,7.438,12.145,12.076
146290.886,6834639.839,7.439,12.146,12.075
146290.968,6834639.896,7.426,12.133,12.069
146291.040,6834639.940,7.422,12.129,12.068
146291.118,6834639.990,7.417,12.125,12.088
146291.195,6834640.040,7.415,12.124,12.082
146291.294,6834640.095,7.416,12.126,12.075
146291.371,6834640.139,7.424,12.136,12.076
146291.451,6834640.182,7.421,12.135,12.072
146291.536,6834640.225,7.426,12.141,12.058
146291.617,6834640.269,7.400,12.119,12.063
146291.706,6834640.305,7.396,12.116,12.058
146291.807,6834640.340,7.394,12.117,12.047
146291.891,6834640.371,7.396,12.121,12.048
146291.979,6834640.394,7.401,12.128,12.048
146292.096,6834640.415,7.422,12.151,12.078
146292.187,6834640.432,7.432,12.163,12.085
146292.278,6834640.449,7.412,12.143,12.103
146292.372,6834640.447,7.396,12.127,12.051
146292.483,6834640.455,7.394,12.124,12.051
146292.586,6834640.458,7.392,12.122,12.050
146292.683,6834640.449,7.395,12.123,12.055
146292.793,6834640.445,7.387,12.114,12.055
146292.903,6834640.434,7.393,12.118,12.048
146293.035,6834640.428,7.421,12.144,12.048
146293.154,6834640.423,7.393,12.114,12.025
146293.276,6834640.412,7.394,12.114,12.044
146293.395,6834640.407,7.412,12.131,12.047
146293.523,6834640.408,7.367,12.086,12.032
146293.668,6834640.407,7.367,12.086,12.039
146293.796,6834640.413,7.358,12.078,12.030
146293.916,6834640.421,7.354,12.075,12.024
146294.032,6834640.429,7.351,12.075,12.019
146294.149,6834640.450,7.351,12.077,12.015
146294.275,6834640.470,7.347,12.077,12.015
146294.375,6834640.499,7.348,12.082,12.017
146294.471,6834640.522,7.414,12.152,12.021
146294.552,6834640.565,7.331,12.072,12.016
146294.625,6834640.610,7.326,12.069,12.044
146294.693,6834640.661,7.324,12.070,12.041
146294.758,6834640.712,7.324,12.071,12.016
146294.821,6834640.789,7.325,12.074,12.028
146294.870,6834640.855,7.328,12.078,12.014
146294.920,6834640.934,7.336,12.085,12.017
146294.965,6834641.012,7.377,12.126,12.011
146295.022,6834641.109,7.329,12.075,12.019
146295.064,6834641.195,7.322,12.067,12.031
146295.120,6834641.292,7.343,12.084,12.007
146295.176,6834641.389,7.312,12.050,12.002
146295.244,6834641.478,7.302,12.037,11.993
146295.321,6834641.567,7.307,12.036,11.990
146295.397,6834641.656,7.329,12.055,12.000
146295.501,6834641.755,7.314,12.033,11.969
146295.601,6834641.828,7.307,12.020,11.956
146295.702,6834641.902,7.305,12.014,11.958
146295.814,6834641.955,7.293,11.997,11.969
146295.951,6834642.012,7.285,11.984,11.921
146296.074,6834642.046,7.288,11.983,11.935
146296.200,6834642.072,7.289,11.980,11.935
146296.328,6834642.079,7.289,11.978,11.946
146296.478,6834642.084,7.295,11.982,11.918
146296.610,6834642.078,7.314,12.001,11.927
146296.736,6834642.059,7.302,11.990,11.921
146296.862,6834642.041,7.288,11.978,11.920
146297.004,6834642.015,7.281,11.976,11.920
146297.129,6834641.984,7.277,11.976,11.933
146297.237,6834641.954,7.269,11.974,11.936
146297.346,6834641.931,7.278,11.987,11.935
146297.484,6834641.905,7.264,11.983,11.941
146297.577,6834641.903,7.261,11.986,11.939
146297.663,6834641.901,7.257,11.986,11.954
146297.749,6834641.912,7.254,11.989,11.948
146297.819,6834641.937,7.255,11.993,11.952
146297.887,6834641.976,7.252,11.993,11.962
146297.955,6834642.014,7.247,11.990,11.946
146298.021,6834642.084,7.246,11.988,11.948
146298.074,6834642.150,7.247,11.989,11.943
146298.128,6834642.221,7.253,11.993,11.940
146298.177,6834642.293,7.299,12.036,11.937
146298.233,6834642.384,7.251,11.985,11.935
146298.288,6834642.468,7.250,11.981,11.935
146298.352,6834642.565,7.253,11.980,11.930
146298.420,6834642.648,7.258,11.981,11.918
146298.487,6834642.725,7.260,11.979,11.917
146298.572,6834642.812,7.253,11.968,11.904
146298.678,6834642.898,7.238,11.947,11.902
146298.769,6834642.960,7.244,11.950,11.897
